slug,timestamp,open,high,low,close,volume,quote_volume
btc-updown-15m-1767665700,1767666526,93768.13,93768.13,93768.13,93768.13,0.00714,669.5044482
btc-updown-15m-1767665700,1767666527,93768.13,93768.13,93768.13,93768.13,0.00201,188.4739413
btc-updown-15m-1767665700,1767666528,93768.13,93768.13,93768.13,93768.13,0.0,0.0
btc-updown-15m-1767665700,1767666529,93768.13,93768.13,93768.12,93768.12,0.23681,22205.2285841
btc-updown-15m-1767665700,1767666530,93768.13,93768.13,93768.12,93768.13,0.04481,4201.7499007
btc-updown-15m-1767665700,1767666531,93768.12,93768.12,93768.12,93768.12,0.00033,30.9434796
btc-updown-15m-1767665700,1767666532,93768.12,93768.13,93768.12,93768.13,0.03141,2945.2566816
btc-updown-15m-1767665700,1767666533,93768.13,93768.13,93768.12,93768.12,0.00795,745.4565565
btc-updown-15m-1767665700,1767666534,93768.12,93768.12,93768.12,93768.12,0.0,0.0
btc-updown-15m-1767665700,1767666535,93768.12,93768.12,93768.12,93768.12,0.1373,12874.362876
btc-updown-15m-1767665700,1767666536,93768.13,93768.13,93768.12,93768.12,0.00894,838.2870598
btc-updown-15m-1767665700,1767666537,93768.12,93768.13,93768.12,93768.13,0.00334,313.1855228
btc-updown-15m-1767665700,1767666538,93768.12,93768.12,93768.12,93768.12,0.00081,75.9521772
btc-updown-15m-1767665700,1767666539,93768.13,93768.13,93768.12,93768.13,0.03785,3549.1233532
btc-updown-15m-1767665700,1767666540,93768.12,93768.12,93759.43,93759.43,0.25078,23513.8055036
btc-updown-15m-1767665700,1767666541,93759.43,93759.43,93749.04,93749.05,0.38614,36202.8250787
btc-updown-15m-1767665700,1767666542,93749.04,93749.04,93748.84,93748.84,0.01184,1109.9867158
btc-updown-15m-1767665700,1767666543,93748.84,93748.85,93748.84,93748.84,0.03276,3071.2119993
btc-updown-15m-1767665700,1767666544,93748.85,93748.85,93748.84,93748.84,0.01469,1377.1705539
btc-updown-15m-1767665700,1767666545,93748.84,93748.84,93741.35,93741.35,0.12819,12016.9618232
btc-updown-15m-1767665700,1767666546,93741.35,93741.36,93741.35,93741.35,0.00482,451.8333091
btc-updown-15m-1767665700,1767666547,93741.35,93741.35,93741.35,93741.35,0.0,0.0
btc-updown-15m-1767665700,1767666548,93741.35,93741.36,93741.35,93741.35,0.30526,28615.487501
btc-updown-15m-1767665700,1767666549,93741.35,93741.36,93741.35,93741.35,0.13529,12682.267744
btc-updown-15m-1767665700,1767666550,93741.36,93741.36,93741.35,93741.35,0.00738,691.811164
btc-updown-15m-1767665700,1767666551,93741.35,93741.35,93740.57,93740.57,0.1041,9758.4454029
btc-updown-15m-1767665700,1767666552,93740.57,93740.58,93740.57,93740.58,0.01288,1207.3785595
btc-updown-15m-1767665700,1767666553,93740.57,93740.57,93737.85,93737.99,0.05943,5570.9546967
btc-updown-15m-1767665700,1767666554,93737.99,93737.99,93737.99,93737.99,0.0,0.0
btc-updown-15m-1767665700,1767666555,93737.98,93737.99,93737.98,93737.98,0.01464,1372.3240787
btc-updown-15m-1767665700,1767666556,93737.99,93737.99,93737.99,93737.99,0.3263,30586.706137
btc-updown-15m-1767665700,1767666557,93737.99,93737.99,93737.98,93737.98,0.00886,830.5185478
btc-updown-15m-1767665700,1767666558,93737.98,93737.98,93737.98,93737.98,0.00014,13.1233172
btc-updown-15m-1767665700,1767666559,93737.98,93737.98,93737.98,93737.98,0.00249,233.4075702
